theta,alpha,alpha0,rho1,rho2,gamma,user
6.145811519442666,-124.54509631695375,100.90075213460467,-12.280835142724877,6.003216461065469,-7.774718309944052,user_2
6.437295356375885,-104.7950380613309,81.35692421393217,-12.365683263543149,6.006897238717642,-7.020754500673036,user_2
5.4745581472535205,-132.50704011345968,107.665259086187,-12.508143879899574,6.006832538448988,-7.149442381970804,user_2
5.972456820678325,-123.81216248442303,102.23342019229061,-12.381769724763819,5.996484060437768,-7.119207914305374,user_2
6.386859789559737,-99.41438529235772,73.39511284576818,-12.34210841044504,6.001157163974218,-6.669180422053208,user_2
6.013593432543061,-120.95872293721838,102.61295926954301,-12.288422916011301,6.003099208824005,-7.510466677161224,user_2
7.135563398676243,-120.90379177269068,97.33561342006772,-12.400549613630517,6.001839392813721,-7.498031998046966,user_2
5.805261227129966,-121.09289006408572,103.38036684426336,-12.317145858624759,6.004764354503997,-7.7412900754128104,user_2
5.492213414703151,-116.86509050639671,97.44557402722216,-12.282186878816294,6.002332140144453,-6.840681865150962,user_2
6.451866513324066,-131.58502019373543,105.08019149167198,-12.327816855120242,6.004545254972474,-7.960081886490717,user_2
4.901955333803857,-109.45593794311023,93.45545866527576,-12.221074542183546,6.004681002946668,-5.845253476617203,user_3
6.529933179380328,-127.9648303680554,102.00188019904866,-12.356261325722187,6.004302516334908,-8.068505746205854,user_3
5.413294143866768,-103.85977674931236,91.75733383063755,-12.31187020771179,6.002893965538837,-5.3003419525157005,user_3
6.477572229658695,-122.3995821378684,99.6857509746978,-12.296022730874563,5.995539990660812,-7.9409182658947985,user_3
6.534301621306541,-127.57863220346388,105.77200229652566,-12.207027660493344,6.006922165410973,-7.649821788296327,user_3
5.457762100513023,-122.2784101626013,98.898755595644,-12.375547053840837,6.003624725168709,-7.032289785274552,user_3
6.209801075012067,-125.45379227567638,102.87148109557877,-12.325037239188347,5.999560199597905,-7.468719624382021,user_3
5.776221443918142,-119.76002469113126,100.25782817144919,-12.254084932633285,6.002837363969431,-7.231165504494831,user_3
5.786385295664458,-102.97622698194563,82.59316939214514,-12.347444634732163,6.018775031197307,-6.738205140705461,user_3
6.535347760734445,-115.32259692045189,90.87884708426891,-12.298249912674402,6.000592223533962,-7.193578467455077,user_3
5.513726809599123,-125.9907772193877,97.35611300289328,-12.35436915454487,6.003663509351784,-7.187863691582382,user_3
6.580556476120548,-128.31129048251586,103.51192251430234,-12.250071271901927,6.003913736298278,-7.8401130278696956,user_3
5.828674021274929,-122.70459971702299,100.70475784124812,-12.302328006584164,6.003442619175594,-7.881882210565429,user_3
6.289271657194136,-127.12634641610028,106.82042502224147,-12.265778616633922,6.00383136226857,-8.112279400593303,user_3
